Rank,Name,Chip time,St. number,Nationality,Age cat.
1,Benard KIMELI,0:59:07,1,KEN,MAM
2,Felix KIBITOK,0:59:08,5,KEN,MAM
3,Stephen KIPROP,0:59:20,2,KEN,MAM
4,Geoffrey Kimutai KOECH,1:00:30,9,KEN,MAM
5,Henry RONO,1:00:37,16,KEN,MAM
6,Moses KIBET,1:00:58,21,UGA,MAM
7,Moses Kipngetich KEMEI,1:01:17,12,KEN,MAM
8,Yohanes GHEBREGERGIS,1:01:42,10,ERI,MAM
9,Ishmael Chelanga KALALE,1:01:43,14,KEN,MAM
10,Philimon Kipkorir MARITIM,1:02:03,11,KEN,MAM
11,Abel KIPCHUMBA,1:02:05,6,KEN,MAM
12,Jiří HOMOLÁČ,1:04:01,17,CZE,MAM
13,Felix BOUR,1:04:16,29,FRA,MAM
14,Igor OLEFIRENKO,1:04:21,20,UKR,MAM
15,Caroline Chepkoech KIPKIRUI,1:05:44,F2,KAZ,WAM
